State,District,Year,Quarter,Trans_Count,Amount
Andaman And Nicobar Islands,North And Middle Andaman,2018,1,442,931663.0770939873
Andaman And Nicobar Islands,South Andaman,2018,1,5688,12560249.34366581
Andaman And Nicobar Islands,Nicobars,2018,1,528,1139848.801225994
Andaman And Nicobar Islands,North And Middle Andaman,2018,2,825,1317863.0834906558
Andaman And Nicobar Islands,South Andaman,2018,2,9395,23948235.51634325
Andaman And Nicobar Islands,Nicobars,2018,2,1120,3072436.9081196385
Andaman And Nicobar Islands,North And Middle Andaman,2018,3,1283,4901529.518499676
Andaman And Nicobar Islands,South Andaman,2018,3,13511,44268112.46425246
Andaman And Nicobar Islands,Nicobars,2018,3,1471,6387829.151558982
Andaman And Nicobar Islands,North And Middle Andaman,2018,4,2137,7955635.917688001
Andaman And Nicobar Islands,South Andaman,2018,4,20136,75411840.8018554
Andaman And Nicobar Islands,Nicobars,2018,4,1485,7180859.354911782
Andaman And Nicobar Islands,North And Middle Andaman,2019,1,3264,9561708.736298349
Andaman And Nicobar Islands,South Andaman,2019,1,25683,85501972.38780196
Andaman And Nicobar Islands,Nicobars,2019,1,1539,7236059.549389593
Andaman And Nicobar Islands,North And Middle Andaman,2019,2,3371,8612103.137888122
Andaman And Nicobar Islands,South Andaman,2019,2,28490,102530955.71341258
Andaman And Nicobar Islands,Nicobars,2019,2,1828,9111650.82436246
Andaman And Nicobar Islands,North And Middle Andaman,2019,3,4049,11481466.283356793
Andaman And Nicobar Islands,South Andaman,2019,3,27421,91023888.32848613
Andaman And Nicobar Islands,Nicobars,2019,3,2300,11566421.475451011
Andaman And Nicobar Islands,North And Middle Andaman,2019,4,4716,13524056.784573946
Andaman And Nicobar Islands,South Andaman,2019,4,27843,110930312.20611623
Andaman And Nicobar Islands,Nicobars,2019,4,2600,12384161.52668771
Andaman And Nicobar Islands,North And Middle Andaman,2020,1,5674,14697371.617857102
Andaman And Nicobar Islands,South Andaman,2020,1,32713,134679396.90582755
Andaman And Nicobar Islands,Nicobars,2020,1,2911,12099543.773590054
Andaman And Nicobar Islands,North And Middle Andaman,2020,2,10979,22447714.061058953
Andaman And Nicobar Islands,South Andaman,2020,2,48088,132855778.74838585
Andaman And Nicobar Islands,Nicobars,2020,2,3895,14341508.60470232
Andaman And Nicobar Islands,North And Middle Andaman,2020,3,16747,33486883.370425556
Andaman And Nicobar Islands,South Andaman,2020,3,95323,282366109.20523936
Andaman And Nicobar Islands,Nicobars,2020,3,5413,22166453.754695386
Andaman And Nicobar Islands,North And Middle Andaman,2020,4,29349,68941322.38839513
Andaman And Nicobar Islands,South Andaman,2020,4,186494,523122462.88302904
Andaman And Nicobar Islands,Nicobars,2020,4,8688,35218871.04342849
Andaman And Nicobar Islands,North And Middle Andaman,2021,1,27358,75027255.27919498
Andaman And Nicobar Islands,South Andaman,2021,1,207092,669604045.1248703
Andaman And Nicobar Islands,Nicobars,2021,1,10302,39075266.9856904
Andaman And Nicobar Islands,North And Middle Andaman,2021,2,39200,90233388.79463302
Andaman And Nicobar Islands,South Andaman,2021,2,286907,760893020.5704944
Andaman And Nicobar Islands,Nicobars,2021,2,15307,48020606.74716837
Andaman And Nicobar Islands,North And Middle Andaman,2021,3,46592,118254865.82750683
Andaman And Nicobar Islands,South Andaman,2021,3,382418,1116789010.6459613
Andaman And Nicobar Islands,Nicobars,2021,3,20754,74980519.3281361
Andaman And Nicobar Islands,North And Middle Andaman,2021,4,53115,156486112.28732437
Andaman And Nicobar Islands,South Andaman,2021,4,558571,1694794708.0093334
Andaman And Nicobar Islands,Nicobars,2021,4,24437,81329281.0269996
Andaman And Nicobar Islands,North And Middle Andaman,2022,1,60059,161624878.52274162
Andaman And Nicobar Islands,South Andaman,2022,1,705512,1872991195.902684
Andaman And Nicobar Islands,Nicobars,2022,1,29177,94414127.64974089
Andaman And Nicobar Islands,North And Middle Andaman,2022,2,72573,195693167.78757268
Andaman And Nicobar Islands,South Andaman,2022,2,954875,2357326563.362071
Andaman And Nicobar Islands,Nicobars,2022,2,43769,132900618.93062323
Andaman And Nicobar Islands,North And Middle Andaman,2022,3,79574,211581970.34202656
Andaman And Nicobar Islands,South Andaman,2022,3,1455255,2967719400.849909
Andaman And Nicobar Islands,Nicobars,2022,3,49550,131330400.94545083
Andaman And Nicobar Islands,North And Middle Andaman,2022,4,93297,241431284.3558103
Andaman And Nicobar Islands,South Andaman,2022,4,1835592,3600887266.099448
Andaman And Nicobar Islands,Nicobars,2022,4,58646,142355853.97352526
Andaman And Nicobar Islands,North And Middle Andaman,2023,1,152187,392080332.0
Andaman And Nicobar Islands,South Andaman,2023,1,2030078,3867385426.0
Andaman And Nicobar Islands,Nicobars,2023,1,94127,202062829.0
Andaman And Nicobar Islands,North And Middle Andaman,2023,2,181149,462414675.0
Andaman And Nicobar Islands,South Andaman,2023,2,2417058,4297737197.0
Andaman And Nicobar Islands,Nicobars,2023,2,109568,230192364.0
Andaman And Nicobar Islands,North And Middle Andaman,2023,3,198547,495623030.0
Andaman And Nicobar Islands,South Andaman,2023,3,2771397,4462201588.0
Andaman And Nicobar Islands,Nicobars,2023,3,128432,253772173.0
Andaman And Nicobar Islands,North And Middle Andaman,2023,4,230234,540759631.0
Andaman And Nicobar Islands,South Andaman,2023,4,3311962,5417264997.0
Andaman And Nicobar Islands,Nicobars,2023,4,153587,311527871.0
Andhra Pradesh,East Godavari,2018,1,943935,1235785515.5997267
Andhra Pradesh,Srikakulam,2018,1,458921,587778028.9183557
Andhra Pradesh,Spsr Nellore,2018,1,531612,676643237.8069417
Andhra Pradesh,Vizianagaram,2018,1,420990,505783445.78162
Andhra Pradesh,Visakhapatnam,2018,1,1256469,1749966196.5049946
Andhra Pradesh,Prakasam,2018,1,534757,748990775.8676485
Andhra Pradesh,Anantapur,2018,1,638664,788830646.0324218
Andhra Pradesh,Ysr,2018,1,487333,681481931.0936775
Andhra Pradesh,West Godavari,2018,1,577090,853547668.7532666
Andhra Pradesh,Kurnool,2018,1,679623,764905298.7350456
Andhra Pradesh,Chittoor,2018,1,830324,1009621878.0870512
Andhra Pradesh,Guntur,2018,1,815932,1108686589.0266829
Andhra Pradesh,Krishna,2018,1,863935,1284255179.6156201
Andhra Pradesh,East Godavari,2018,2,1221677,2168914928.4239016
Andhra Pradesh,Srikakulam,2018,2,559868,929392017.3670053
Andhra Pradesh,Spsr Nellore,2018,2,780454,1542057934.0108962
Andhra Pradesh,Vizianagaram,2018,2,529588,811711367.5080048
Andhra Pradesh,Visakhapatnam,2018,2,1641192,2987853607.2939095
Andhra Pradesh,Prakasam,2018,2,739991,1571167562.1276276
Andhra Pradesh,Anantapur,2018,2,937023,1690366079.0557928
Andhra Pradesh,Ysr,2018,2,690842,1415500367.6861844
Andhra Pradesh,West Godavari,2018,2,786033,1688025212.3045945
Andhra Pradesh,Kurnool,2018,2,968439,1531888665.6843233
Andhra Pradesh,Chittoor,2018,2,1185723,1990419125.8937118
Andhra Pradesh,Guntur,2018,2,1088101,2108475811.7859967
Andhra Pradesh,Krishna,2018,2,1224987,2448141593.4919834
Andhra Pradesh,East Godavari,2018,3,3226907,3551247095.307447
Andhra Pradesh,Srikakulam,2018,3,1073883,1318322236.598471
Andhra Pradesh,Spsr Nellore,2018,3,1308890,2215938596.185108
Andhra Pradesh,Vizianagaram,2018,3,970132,1163546006.895916
Andhra Pradesh,Visakhapatnam,2018,3,3394576,4821892253.393524
Andhra Pradesh,Prakasam,2018,3,1319651,2346453445.483843
Andhra Pradesh,Anantapur,2018,3,1815215,2681787750.464165
Andhra Pradesh,Ysr,2018,3,1557444,2235904512.2542048
Andhra Pradesh,West Godavari,2018,3,1431282,2309078492.8058147
Andhra Pradesh,Kurnool,2018,3,2921189,2908389261.539773
Andhra Pradesh,Chittoor,2018,3,2297429,3283517630.720593
Andhra Pradesh,Guntur,2018,3,1912529,3127764663.180438
Andhra Pradesh,Krishna,2018,3,2396934,3754202654.3844614
Andhra Pradesh,East Godavari,2018,4,3052762,4652624623.436675
Andhra Pradesh,Srikakulam,2018,4,1252807,1870278609.504549
Andhra Pradesh,Spsr Nellore,2018,4,1814997,3293448556.9734454
Andhra Pradesh,Vizianagaram,2018,4,1386787,1817673252.5417767
Andhra Pradesh,Visakhapatnam,2018,4,4791421,7366635864.849373
Andhra Pradesh,Prakasam,2018,4,1692862,3255254226.03728
Andhra Pradesh,Anantapur,2018,4,2286391,3975878156.329829
Andhra Pradesh,Ysr,2018,4,1732527,3252340063.2478595
Andhra Pradesh,West Godavari,2018,4,1688482,3237504255.4632454
Andhra Pradesh,Kurnool,2018,4,2508530,3626544852.4069242
Andhra Pradesh,Chittoor,2018,4,3166201,4979093890.223491
Andhra Pradesh,Guntur,2018,4,2546620,4730251217.696959
Andhra Pradesh,Krishna,2018,4,2839161,5416251838.130407
Andhra Pradesh,East Godavari,2019,1,5440146,7382264724.59952
Andhra Pradesh,Srikakulam,2019,1,2526855,3407912878.4152584
Andhra Pradesh,Spsr Nellore,2019,1,3333584,5161932216.216368
Andhra Pradesh,Vizianagaram,2019,1,2798241,3364576948.299301
Andhra Pradesh,Visakhapatnam,2019,1,9690866,13459857440.552685
Andhra Pradesh,Prakasam,2019,1,2931081,4807527779.215151
Andhra Pradesh,Anantapur,2019,1,3891336,6044730653.191345
Andhra Pradesh,Ysr,2019,1,2852197,4915811593.896078
Andhra Pradesh,West Godavari,2019,1,2829437,4623764455.47309
Andhra Pradesh,Kurnool,2019,1,4193432,5541564892.509682
Andhra Pradesh,Chittoor,2019,1,6486813,8223371732.233585
Andhra Pradesh,Guntur,2019,1,4846553,7765934169.404485
Andhra Pradesh,Krishna,2019,1,5443981,9061346433.072681
Andhra Pradesh,East Godavari,2019,2,4699261,9116404622.47651
Andhra Pradesh,Srikakulam,2019,2,2019203,4066576539.936839
Andhra Pradesh,Spsr Nellore,2019,2,3141891,6880873007.4820595
Andhra Pradesh,Vizianagaram,2019,2,2272320,4443041665.039663
Andhra Pradesh,Visakhapatnam,2019,2,11705738,20797479804.029076
Andhra Pradesh,Prakasam,2019,2,2670529,6262396448.455349
Andhra Pradesh,Anantapur,2019,2,3578836,7830782361.377665
Andhra Pradesh,Ysr,2019,2,2606284,6376856828.130632
Andhra Pradesh,West Godavari,2019,2,2402074,5676818258.955046
Andhra Pradesh,Kurnool,2019,2,3895824,7358285187.018034
Andhra Pradesh,Chittoor,2019,2,5983308,10982727976.224325
Andhra Pradesh,Guntur,2019,2,5005275,10405246943.481495
Andhra Pradesh,Krishna,2019,2,6428472,13437029115.620754
Andhra Pradesh,East Godavari,2019,3,6537303,11387726470.57774
Andhra Pradesh,Srikakulam,2019,3,2556296,4610131289.524039
Andhra Pradesh,Spsr Nellore,2019,3,4150195,8256600118.735449
Andhra Pradesh,Vizianagaram,2019,3,2861581,4922069039.19216
Andhra Pradesh,Visakhapatnam,2019,3,16694947,26944837120.046288
Andhra Pradesh,Prakasam,2019,3,3430750,7354502261.150911
Andhra Pradesh,Anantapur,2019,3,4889720,9554081289.488277
Andhra Pradesh,Ysr,2019,3,3296586,7447544274.2117815
Andhra Pradesh,West Godavari,2019,3,3179541,6627629029.01413
Andhra Pradesh,Kurnool,2019,3,5139134,9025632779.412457
Andhra Pradesh,Chittoor,2019,3,8201783,13837455758.755266
Andhra Pradesh,Guntur,2019,3,6942304,13075661264.188034
Andhra Pradesh,Krishna,2019,3,8408474,16404073560.500784
Andhra Pradesh,East Godavari,2019,4,9285739,16816774065.301317
Andhra Pradesh,Srikakulam,2019,4,3712555,6832369301.879345
Andhra Pradesh,Spsr Nellore,2019,4,5877804,11786014089.194027
Andhra Pradesh,Vizianagaram,2019,4,3998234,7175851807.068796
Andhra Pradesh,Visakhapatnam,2019,4,23594874,39133296330.044624
Andhra Pradesh,Prakasam,2019,4,4865473,10604077824.801035
Andhra Pradesh,Anantapur,2019,4,6764112,13887248889.064066
Andhra Pradesh,Ysr,2019,4,4793157,10865073855.730783
Andhra Pradesh,West Godavari,2019,4,4596479,9710614747.20177
Andhra Pradesh,Kurnool,2019,4,7001958,13233105728.54823
Andhra Pradesh,Chittoor,2019,4,11246986,19298476027.875484
Andhra Pradesh,Guntur,2019,4,9761330,18565626418.035915
Andhra Pradesh,Krishna,2019,4,11719402,23039786404.04664
Andhra Pradesh,East Godavari,2020,1,11346242,21854701379.428688
Andhra Pradesh,Srikakulam,2020,1,4835092,9777575594.177538
Andhra Pradesh,Spsr Nellore,2020,1,7430247,15387829694.446861
Andhra Pradesh,Vizianagaram,2020,1,5042066,9879174240.920494
Andhra Pradesh,Visakhapatnam,2020,1,27115031,48809747614.678894
Andhra Pradesh,Prakasam,2020,1,6318396,14169104764.526735
Andhra Pradesh,Anantapur,2020,1,8466129,17864325752.82528
Andhra Pradesh,Ysr,2020,1,6031255,14059924636.819912
Andhra Pradesh,West Godavari,2020,1,5919670,12995834340.716236
Andhra Pradesh,Kurnool,2020,1,8246869,17022710311.813046
Andhra Pradesh,Chittoor,2020,1,13257740,23441848567.344193
Andhra Pradesh,Guntur,2020,1,11493331,22992734620.64621
Andhra Pradesh,Krishna,2020,1,12175289,24481702770.71471
Andhra Pradesh,East Godavari,2020,2,13130334,26319906327.32029
Andhra Pradesh,Srikakulam,2020,2,6425515,12153650076.875832
Andhra Pradesh,Spsr Nellore,2020,2,9454274,20665376460.772232
Andhra Pradesh,Vizianagaram,2020,2,6690313,12819344389.545382
Andhra Pradesh,Visakhapatnam,2020,2,25300401,48293889917.41437
Andhra Pradesh,Prakasam,2020,2,8844580,19846026726.904335
Andhra Pradesh,Anantapur,2020,2,10473739,22094006659.412506
Andhra Pradesh,Ysr,2020,2,8033609,19597207268.132023
Andhra Pradesh,West Godavari,2020,2,7273096,16585866855.159784
Andhra Pradesh,Kurnool,2020,2,9821381,22419372061.805172
Andhra Pradesh,Chittoor,2020,2,14848197,27361300300.01902
Andhra Pradesh,Guntur,2020,2,12308707,27463593607.839108
Andhra Pradesh,Krishna,2020,2,12313709,26964149095.366295
Andhra Pradesh,East Godavari,2020,3,17972431,39300043804.75851
Andhra Pradesh,Srikakulam,2020,3,8286289,18029574581.337425
Andhra Pradesh,Spsr Nellore,2020,3,16468209,39128324534.03022
Andhra Pradesh,Vizianagaram,2020,3,8236703,17567816576.501263
Andhra Pradesh,Visakhapatnam,2020,3,34421299,67628440368.111465
Andhra Pradesh,Prakasam,2020,3,12266310,31221704852.44969
Andhra Pradesh,Anantapur,2020,3,14447683,34102037972.65785
Andhra Pradesh,Ysr,2020,3,11934653,32037007334.12973
Andhra Pradesh,West Godavari,2020,3,10412351,25408608725.754295
Andhra Pradesh,Kurnool,2020,3,13243292,32529351107.17173
Andhra Pradesh,Chittoor,2020,3,20501863,42811566246.16463
Andhra Pradesh,Guntur,2020,3,17601395,42531195809.75448
Andhra Pradesh,Krishna,2020,3,19110457,44788458672.084435
Andhra Pradesh,East Godavari,2020,4,25989490,58732615663.118416
Andhra Pradesh,Srikakulam,2020,4,11092184,25222520275.27882
Andhra Pradesh,Spsr Nellore,2020,4,20934374,49115443663.37911
Andhra Pradesh,Vizianagaram,2020,4,10580824,24094847668.445065
Andhra Pradesh,Visakhapatnam,2020,4,46551467,91879823025.40399
Andhra Pradesh,Prakasam,2020,4,16176867,41852443493.515396
Andhra Pradesh,Anantapur,2020,4,20996384,49732610814.26222
Andhra Pradesh,Ysr,2020,4,15676878,42572974713.44026
Andhra Pradesh,West Godavari,2020,4,15674762,40310975762.603455
Andhra Pradesh,Kurnool,2020,4,18737323,44718203115.22612
Andhra Pradesh,Chittoor,2020,4,29590411,61505711149.79541
Andhra Pradesh,Guntur,2020,4,26136538,60641872021.25432
Andhra Pradesh,Krishna,2020,4,27981050,64461504667.60723
Andhra Pradesh,East Godavari,2021,1,26190701,60027984987.96951
Andhra Pradesh,Srikakulam,2021,1,11160473,26486623313.092724
Andhra Pradesh,Spsr Nellore,2021,1,22541428,52210333201.53073
Andhra Pradesh,Vizianagaram,2021,1,10514582,24153782497.243248
Andhra Pradesh,Visakhapatnam,2021,1,48248923,95308386037.84721
Andhra Pradesh,Prakasam,2021,1,15175395,41396223622.174774
Andhra Pradesh,Anantapur,2021,1,20102957,48353870395.01808
Andhra Pradesh,Ysr,2021,1,15374473,42570919448.50447
Andhra Pradesh,West Godavari,2021,1,16015685,42124030669.36126
Andhra Pradesh,Kurnool,2021,1,17918524,44941629659.56964
Andhra Pradesh,Chittoor,2021,1,29342609,60947491846.66089
Andhra Pradesh,Guntur,2021,1,27445045,64207987853.108406
Andhra Pradesh,Krishna,2021,1,29717175,69715406644.53485
Andhra Pradesh,East Godavari,2021,2,31717908,74604325863.66068
Andhra Pradesh,Srikakulam,2021,2,13546232,32298129544.540867
Andhra Pradesh,Spsr Nellore,2021,2,30290406,72283071757.09679
Andhra Pradesh,Vizianagaram,2021,2,12689494,29140685236.830723
Andhra Pradesh,Visakhapatnam,2021,2,54390299,114439012713.35336
Andhra Pradesh,Prakasam,2021,2,19944047,54535328043.04135
Andhra Pradesh,Anantapur,2021,2,25123346,60987487571.279915
Andhra Pradesh,Ysr,2021,2,18457361,52523527031.02132
Andhra Pradesh,West Godavari,2021,2,20950964,57233116236.18796
Andhra Pradesh,Kurnool,2021,2,21972396,56659287474.995804
Andhra Pradesh,Chittoor,2021,2,34344902,73654690122.43158
Andhra Pradesh,Guntur,2021,2,32968819,82356914463.83287
Andhra Pradesh,Krishna,2021,2,36370960,90021923049.96454
Andhra Pradesh,East Godavari,2021,3,39572714,89380370072.7078
Andhra Pradesh,Srikakulam,2021,3,15639768,34836400769.876816
Andhra Pradesh,Spsr Nellore,2021,3,34411958,77839676988.30869
Andhra Pradesh,Vizianagaram,2021,3,14510005,31383541628.212524
Andhra Pradesh,Visakhapatnam,2021,3,69220981,136945652159.26515
Andhra Pradesh,Prakasam,2021,3,24116580,63367713446.928055
Andhra Pradesh,Anantapur,2021,3,30366444,70291248155.64975
Andhra Pradesh,Ysr,2021,3,22439316,60683557724.652336
Andhra Pradesh,West Godavari,2021,3,26245039,66647238455.1675
Andhra Pradesh,Kurnool,2021,3,26377809,62527453761.59807
Andhra Pradesh,Chittoor,2021,3,42628568,89371931753.04831
Andhra Pradesh,Guntur,2021,3,41675093,96525353090.12305
Andhra Pradesh,Krishna,2021,3,44828275,104417897558.58972
Andhra Pradesh,East Godavari,2021,4,48992531,106725597026.00356
Andhra Pradesh,Srikakulam,2021,4,18501857,39713657870.15512
Andhra Pradesh,Spsr Nellore,2021,4,41921081,92256405076.26547
Andhra Pradesh,Vizianagaram,2021,4,17253059,36577529464.9687
Andhra Pradesh,Visakhapatnam,2021,4,82711538,159530099772.73474
Andhra Pradesh,Prakasam,2021,4,27858275,71323060008.47623
Andhra Pradesh,Anantapur,2021,4,36129136,81239787006.64764
Andhra Pradesh,Ysr,2021,4,26340348,69081850069.2033
Andhra Pradesh,West Godavari,2021,4,33235175,81292461575.08182
Andhra Pradesh,Kurnool,2021,4,31782248,73968947669.64754
Andhra Pradesh,Chittoor,2021,4,51119640,103985734663.73514
Andhra Pradesh,Guntur,2021,4,50919286,115553993673.17337
Andhra Pradesh,Krishna,2021,4,55489829,125015323207.89836
Andhra Pradesh,East Godavari,2022,1,54738830,121067103712.79568
Andhra Pradesh,Srikakulam,2022,1,20990782,46898912115.649216
Andhra Pradesh,Spsr Nellore,2022,1,47645702,104895571602.13988
Andhra Pradesh,Vizianagaram,2022,1,19278262,41994853361.58879
Andhra Pradesh,Visakhapatnam,2022,1,88233362,170120350591.26004
Andhra Pradesh,Prakasam,2022,1,31340975,79494373254.71565
Andhra Pradesh,Anantapur,2022,1,40613148,90197023268.43825
Andhra Pradesh,Ysr,2022,1,29783739,78421693518.90942
Andhra Pradesh,West Godavari,2022,1,37271259,92397939903.60938
Andhra Pradesh,Kurnool,2022,1,35093633,81568420500.54749
Andhra Pradesh,Chittoor,2022,1,58561024,117900595508.634
Andhra Pradesh,Guntur,2022,1,57226996,129673727687.08942
Andhra Pradesh,Krishna,2022,1,61826199,139690081529.49048
Andhra Pradesh,East Godavari,2022,2,62072845,135531452997.6391
Andhra Pradesh,Srikakulam,2022,2,23727353,53754764122.4327
Andhra Pradesh,Spsr Nellore,2022,2,54838708,121941082043.49483
Andhra Pradesh,Vizianagaram,2022,2,21766135,47294745020.495636
Andhra Pradesh,Visakhapatnam,2022,2,101387402,193242841582.14285
Andhra Pradesh,Prakasam,2022,2,36163507,90435082545.97766
Andhra Pradesh,Anantapur,2022,2,46099366,102138758015.76915
Andhra Pradesh,Ysr,2022,2,33154559,87601310069.59737
Andhra Pradesh,West Godavari,2022,2,44409239,107973244960.42824
Andhra Pradesh,Kurnool,2022,2,40165692,92409350855.50198
Andhra Pradesh,Chittoor,2022,2,67507661,136435445124.75616
Andhra Pradesh,Guntur,2022,2,66315749,147098141568.7623
Andhra Pradesh,Krishna,2022,2,73525814,163997729295.93134
Andhra Pradesh,East Godavari,2022,3,61467134,129677722169.74829
Andhra Pradesh,Srikakulam,2022,3,22126541,46899962921.785614
Andhra Pradesh,Spsr Nellore,2022,3,42116582,95099325968.25972
Andhra Pradesh,Vizianagaram,2022,3,20440645,42513313394.84207
Andhra Pradesh,Visakhapatnam,2022,3,97434546,181124419863.61444
Andhra Pradesh,Prakasam,2022,3,35376080,87475230073.46387
Andhra Pradesh,Anantapur,2022,3,45165363,97735649608.10074
Andhra Pradesh,Ysr,2022,3,33119038,86016932181.12372
Andhra Pradesh,West Godavari,2022,3,43635951,101706854744.31876
Andhra Pradesh,Kurnool,2022,3,39557913,88415335176.31995
Andhra Pradesh,Chittoor,2022,3,65751781,133053581631.6395
Andhra Pradesh,Guntur,2022,3,65612317,141588522953.23773
Andhra Pradesh,Krishna,2022,3,71051144,153770559025.69125
Andhra Pradesh,East Godavari,2022,4,68016055,136531110139.86256
Andhra Pradesh,Srikakulam,2022,4,23693779,47726411107.88628
Andhra Pradesh,Spsr Nellore,2022,4,42582064,92085916180.6851
Andhra Pradesh,Vizianagaram,2022,4,22205190,44467386404.34758
Andhra Pradesh,Visakhapatnam,2022,4,103790055,185306149744.73108
Andhra Pradesh,Prakasam,2022,4,37211077,88105031866.36835
Andhra Pradesh,Anantapur,2022,4,48299601,101533878537.23433
Andhra Pradesh,Ysr,2022,4,35201596,87360426792.81667
Andhra Pradesh,West Godavari,2022,4,47919930,105335724990.59325
Andhra Pradesh,Kurnool,2022,4,43524766,94667441029.08345
Andhra Pradesh,Chittoor,2022,4,70322534,136840859888.18155
Andhra Pradesh,Guntur,2022,4,70723763,146938735166.52365
Andhra Pradesh,Krishna,2022,4,76526667,157826011193.35443
Andhra Pradesh,East Godavari,2023,1,115196449,223454724672.0
Andhra Pradesh,Srikakulam,2023,1,42209999,86486032409.0
Andhra Pradesh,Spsr Nellore,2023,1,71318689,143967164643.0
Andhra Pradesh,Vizianagaram,2023,1,38838861,76472384525.0
Andhra Pradesh,Visakhapatnam,2023,1,164358781,277211090180.0
Andhra Pradesh,Prakasam,2023,1,63671149,141672839638.0
Andhra Pradesh,Anantapur,2023,1,82127373,162287796625.0
Andhra Pradesh,Ysr,2023,1,59768512,140117633668.0
Andhra Pradesh,West Godavari,2023,1,79094558,165941144654.0
Andhra Pradesh,Kurnool,2023,1,72405172,149100361797.0
Andhra Pradesh,Chittoor,2023,1,120192355,218037027226.0
Andhra Pradesh,Guntur,2023,1,114246185,226244225817.0
Andhra Pradesh,Krishna,2023,1,122104381,238058890676.0
Andhra Pradesh,East Godavari,2023,2,131243375,245134717109.0
Andhra Pradesh,Srikakulam,2023,2,47633204,93082175904.0
Andhra Pradesh,Spsr Nellore,2023,2,82056071,165181391414.0
Andhra Pradesh,Vizianagaram,2023,2,43625851,82671020353.0
Andhra Pradesh,Visakhapatnam,2023,2,184918179,303874597259.0
Andhra Pradesh,Prakasam,2023,2,73598725,158428689659.0
Andhra Pradesh,Anantapur,2023,2,91695174,180050369328.0
Andhra Pradesh,Ysr,2023,2,66809788,156231915019.0
Andhra Pradesh,West Godavari,2023,2,92533269,187699526244.0
Andhra Pradesh,Kurnool,2023,2,81475907,166991990104.0
Andhra Pradesh,Chittoor,2023,2,136283483,245550525910.0
Andhra Pradesh,Guntur,2023,2,132035450,254140764680.0
Andhra Pradesh,Krishna,2023,2,141748488,267001403933.0
Andhra Pradesh,East Godavari,2023,3,148701666,260414286361.0
Andhra Pradesh,Srikakulam,2023,3,51382393,91818203167.0
Andhra Pradesh,Spsr Nellore,2023,3,93875073,176593750929.0
Andhra Pradesh,Vizianagaram,2023,3,47856766,83289704541.0
Andhra Pradesh,Visakhapatnam,2023,3,209884966,328927220951.0
Andhra Pradesh,Prakasam,2023,3,84447202,171207298619.0
Andhra Pradesh,Anantapur,2023,3,104539628,192477441164.0
Andhra Pradesh,Ysr,2023,3,76091693,168218516193.0
Andhra Pradesh,West Godavari,2023,3,102962058,191891823401.0
Andhra Pradesh,Kurnool,2023,3,92890445,172979053545.0
Andhra Pradesh,Chittoor,2023,3,152863845,265404757144.0
Andhra Pradesh,Guntur,2023,3,150246761,270651818044.0
Andhra Pradesh,Krishna,2023,3,159421907,279540224039.0
Andhra Pradesh,East Godavari,2023,4,162793144,282329255747.0
Andhra Pradesh,Srikakulam,2023,4,56291337,97021746702.0
Andhra Pradesh,Spsr Nellore,2023,4,97721962,179306028468.0
Andhra Pradesh,Vizianagaram,2023,4,53248760,90289502507.0
Andhra Pradesh,Visakhapatnam,2023,4,223584765,344512874812.0
Andhra Pradesh,Prakasam,2023,4,89721677,174929737360.0
Andhra Pradesh,Anantapur,2023,4,113698752,203367177888.0
Andhra Pradesh,Ysr,2023,4,83729195,176644897379.0
Andhra Pradesh,West Godavari,2023,4,114825704,209237892746.0
Andhra Pradesh,Kurnool,2023,4,103816175,190597527675.0
Andhra Pradesh,Chittoor,2023,4,163521593,274132458092.0
Andhra Pradesh,Guntur,2023,4,160724947,281806839570.0
Andhra Pradesh,Krishna,2023,4,173309415,298339038877.0
Arunachal Pradesh,Lower Dibang Valley,2018,1,1356,1076236.814073793
Arunachal Pradesh,Lower Subansiri,2018,1,1477,3650727.893614269
Arunachal Pradesh,Longding,2018,1,2321,4361531.578447229
Arunachal Pradesh,West Siang,2018,1,1887,4796675.565399804
Arunachal Pradesh,Kamle,2018,1,14,7971.330494807651
Arunachal Pradesh,Upper Siang,2018,1,126,186610.66988095018
Arunachal Pradesh,Tirap,2018,1,945,1064265.0002443574
Arunachal Pradesh,Papum Pare,2018,1,14224,32555848.462331478
Arunachal Pradesh,Kurung Kumey,2018,1,84,99416.58027150274
Arunachal Pradesh,Siang,2018,1,252,339471.80434222345
Arunachal Pradesh,Lower Siang,2018,1,1292,2337960.7148240386
Arunachal Pradesh,Kra Daadi,2018,1,207,495375.1454853307
Arunachal Pradesh,Changlang,2018,1,3195,5380749.415278763
Arunachal Pradesh,Pakke Kessang,2018,1,9,9131.404205737199
Arunachal Pradesh,Dibang Valley,2018,1,2,169.88856537681642
Arunachal Pradesh,West Kameng,2018,1,5787,9540632.547015157
Arunachal Pradesh,East Siang,2018,1,3286,5533620.186295529
Arunachal Pradesh,Upper Subansiri,2018,1,735,1358367.5018580484
Arunachal Pradesh,East Kameng,2018,1,529,473824.76595106337
Arunachal Pradesh,Lohit,2018,1,3747,11496949.54576835
Arunachal Pradesh,Lepa Rada,2018,1,288,403149.46702687367
Arunachal Pradesh,Tawang,2018,1,2334,5055665.022950603
Arunachal Pradesh,Namsai,2018,1,1400,2162984.705083958
Arunachal Pradesh,Lower Dibang Valley,2018,2,1827,2561237.506207262
Arunachal Pradesh,Lower Subansiri,2018,2,1666,4113742.04406352
Arunachal Pradesh,Longding,2018,2,4634,10271170.165521314
Arunachal Pradesh,West Siang,2018,2,2579,7610989.567485569
